path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232147.jpg,20220312_232147.jpg,2024-12-13 02:07:05.875245094+00:00,2022-03-13 04:21:47+00:00,2024-12-14 08:59:20.560452938+00:00,2.704198,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232154.jpg,20220312_232154.jpg,2024-12-13 02:07:05.889329910+00:00,2022-03-13 04:21:55+00:00,2024-12-14 08:59:20.389586210+00:00,2.355656,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232155.jpg,20220312_232155.jpg,2024-12-13 02:07:05.902604818+00:00,2022-03-13 04:21:57+00:00,2024-12-14 08:59:20.369864464+00:00,2.292244,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220312_232157.jpg,20220312_232157.jpg,2024-12-13 02:07:05.924427271+00:00,2022-03-13 04:21:59+00:00,2024-12-14 08:59:20.289519310+00:00,2.269896,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_082517.jpg,20220313_082517.jpg,2024-12-13 02:07:05.934611797+00:00,2022-03-13 12:25:19+00:00,2024-12-14 08:59:17.143804550+00:00,1.704266,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_082519.jpg,20220313_082519.jpg,2024-12-13 02:07:05.943552971+00:00,2022-03-13 12:25:20+00:00,2024-12-14 08:59:17.096769333+00:00,1.618584,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_101419.jpg,20220313_101419.jpg,2024-12-13 02:07:05.969146490+00:00,2022-03-13 14:14:20+00:00,2024-12-14 08:59:09.596773386+00:00,2.808283,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_101421.jpg,20220313_101421.jpg,2024-12-13 02:07:05.985024452+00:00,2022-03-13 14:14:22+00:00,2024-12-14 08:59:09.667140484+00:00,2.771264,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_102607.jpg,20220313_102607.jpg,2024-12-13 02:07:06.004363060+00:00,2022-03-13 14:26:08+00:00,2024-12-14 08:59:09.721370697+00:00,3.301757,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220313_102612.jpg,20220313_102612.jpg,2024-12-13 02:07:06.023925304+00:00,2022-03-13 14:26:13+00:00,2024-12-14 08:59:09.506557940+00:00,1.834447,jpg,pic
