path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type,raw_location,lat,lon,utc_metadata_creation_time
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_101329.mp4,20220312_101329.mp4,2024-12-13 12:19:25.451051474+00:00,2022-03-12 15:13:36+00:00,2024-12-14 08:59:46.628221750+00:00,65.148552,mp4,clip,+32.0556+034.7551/,32.0556,34.7551,2022-03-12 08:13:36+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_101342.mp4,20220312_101342.mp4,2024-12-13 12:19:25.695047379+00:00,2022-03-12 15:13:47+00:00,2024-12-14 08:59:48.639136553+00:00,35.2508,mp4,clip,+32.0556+034.7551/,32.0556,34.7551,2022-03-12 08:13:47+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_101529.mp4,20220312_101529.mp4,2024-12-13 12:19:26.222736359+00:00,2022-03-12 15:15:38+00:00,2024-12-14 08:59:48.285772085+00:00,77.881444,mp4,clip,+32.0556+034.7550/,32.0556,34.755,2022-03-12 08:15:38+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_101934.mp4,20220312_101934.mp4,2024-12-13 12:19:26.891176701+00:00,2022-03-12 15:19:39+00:00,2024-12-14 08:59:47.518302679+00:00,34.781962,mp4,clip,+32.0551+034.7550/,32.0551,34.755,2022-03-12 08:19:39+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_102009.mp4,20220312_102009.mp4,2024-12-13 12:19:27.187883615+00:00,2022-03-12 15:20:14+00:00,2024-12-14 08:59:48.084958792+00:00,43.332332,mp4,clip,+32.0548+034.7552/,32.0548,34.7552,2022-03-12 08:20:14+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_102859.mp4,20220312_102859.mp4,2024-12-13 12:19:28.410673141+00:00,2022-03-12 15:29:04+00:00,2024-12-14 08:59:46.422657728+00:00,42.077094,mp4,clip,+32.0545+034.7551/,32.0545,34.7551,2022-03-12 08:29:04+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_103531.mp4,20220312_103531.mp4,2024-12-13 12:19:29.739811659+00:00,2022-03-12 15:35:38+00:00,2024-12-14 08:59:43.994999409+00:00,58.038064,mp4,clip,+32.0530+034.7529/,32.053,34.7529,2022-03-12 08:35:38+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_105614.mp4,20220312_105614.mp4,2024-12-13 12:19:31.376198530+00:00,2022-03-12 15:56:19+00:00,2024-12-14 08:59:42.631609917+00:00,42.702971,mp4,clip,+32.0540+034.7528/,32.054,34.7528,2022-03-12 08:56:19+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_105632.mp4,20220312_105632.mp4,2024-12-13 12:19:31.697812319+00:00,2022-03-12 15:56:37+00:00,2024-12-14 08:59:42.263407469+00:00,38.523664,mp4,clip,+32.0542+034.7531/,32.0542,34.7531,2022-03-12 08:56:37+00:00
/media/kjb3/KJB320TB1/D2V1/Vids Clips Pics/2 Unsorted Clips/34 Galaxy S21 Ultra/Vol 6/20220312_105856.mp4,20220312_105856.mp4,2024-12-13 12:19:32.130868195+00:00,2022-03-12 15:59:04+00:00,2024-12-14 08:59:41.999236822+00:00,59.215188,mp4,clip,+32.0540+034.7532/,32.054,34.7532,2022-03-12 08:59:04+00:00
